step,rank,full_step_ns,advance_ns,observables_ns,visit_ns,evidence_resources_ns,csv_ns,checkpoint_ns,candidate_ns,state_copy_ns,velocity_halo_ns,thermo_ns,boundary_derived_ns,flux_ns,certificate_ns,residual_ns,equivalence_hash_ns,schur_prepare_ns,krylov_ns,recovery_ns,baseline_evaluations,extrapolation_evaluations,ladder_evaluations,incomplete_evaluations,rejected_extrapolations,reported_collective_subtotal,structured_control,ibm_control,pressure_calls,pressure_prepare_ns,pressure_solve_ns,pressure_close_ns,diagonal_calls,diagonal_prepare_ns,diagonal_solve_ns,diagonal_close_ns,spatial_calls,spatial_prepare_ns,spatial_solve_ns,spatial_close_ns,A_apply_ns,M_apply_ns,arnoldi_dot_ns,arnoldi_reduce_ns,arnoldi_update_ns,final_momentum_ns,terminal_metrics_ns,boundary_ledger_ns,structured_wait_ns,structured_control_ns,dropped_loops,scalar_remap_ns,scalar_coupling_sweeps,scalar_remap_iterations
1001,39,10621513152,10609885122,11143155,50,401372,83423,30,2491853623,760861,116249199,233233853,602324329,505186254,200182944,658680060,175200789,239723434,4704332532,18990227,7,4,5,0,2,5858,1632,72,0,0,0,0,6,92834552,3492650569,16331955,1,146888882,1211681963,2658272,1665353557,2342570942,100991794,203791392,35434161,198564401,5192191,31304789,481881724,385030161,0,0,0,0
1001,40,10621515312,10609892222,11136595,50,402322,84083,40,2487330193,588539,116295068,229565810,605832117,507240760,198337234,658506817,170932048,239824046,4704201819,19063891,7,4,5,0,2,5858,1632,72,0,0,0,0,6,92904152,3492556447,16404839,1,146919894,1211645372,2659052,1639400175,2352551581,101927722,206359147,37101797,198621823,5141579,31298219,478662837,412651806,0,0,0,0
1001,41,10621512902,10609898122,11128925,40,402582,83203,30,2486582212,750261,116249608,231478899,604085672,506756036,198642342,658644412,169936979,239741303,4704103116,19231505,7,4,5,0,2,5858,1632,72,0,0,0,0,6,92850211,3492476824,16529432,1,146891092,1211626292,2702073,1656525285,2349696217,97076021,200044992,33716847,198569731,5194021,31309960,484026413,409923729,0,0,0,0
1001,42,10621514292,10609891022,11138195,40,401182,83803,50,2487103425,720520,116218697,229555237,606904892,506571130,197966131,658506267,170618529,239815627,4704280562,18990037,7,4,5,0,2,5858,1632,72,0,0,0,0,6,92894933,3492660361,16307654,1,146920694,1211620201,2682383,1651007170,2354052663,98240603,196906980,35359719,198626263,5135239,31310510,462805257,412542194,0,0,0,0
1001,43,10621513732,10609900152,11126905,50,403222,83363,40,2487393755,740381,116261807,231113148,604452036,506006821,199383665,658657682,170744273,239736501,4704123829,19202402,7,4,5,0,2,5858,1632,72,0,0,0,0,6,92839099,3492481287,16520819,1,146897402,1211642542,2681583,1631127290,2354818187,102550747,212095676,35971403,198569911,5192491,31304470,455548974,419268960,0,0,0,0
1001,44,10621516472,10609899112,11132955,50,400032,84293,30,2487128463,788722,116174645,228186128,607217430,506704702,198900114,658513636,170604637,239818757,4704093075,19155033,7,4,5,0,2,5858,1632,72,0,0,0,0,6,92886793,3492444753,16512051,1,146931964,1211648322,2642982,1630122331,2345595644,101017571,220789546,37738260,198620953,5140259,31307890,444736151,429657557,0,0,0,0
1001,45,10621510062,10609893752,11131435,40,401632,83153,50,2487073914,789317,116222736,230534388,605025915,506630611,198781545,658627612,170424482,239750383,4704301631,19032110,7,4,5,0,2,5858,1632,72,0,0,0,0,6,92862111,3492551456,16447070,1,146888272,1211750175,2585040,1611285153,2354429326,104529231,227986770,37276397,198570081,5192181,31301769,451618522,424993451,0,0,0,0
1001,46,10621516102,10609900342,11128485,40,403272,83933,30,2487510892,733172,116229018,228395681,607003544,507227121,198378234,658514998,170993460,239803426,4704196068,19073519,7,4,5,0,2,5858,1632,72,0,0,0,0,6,92891863,3492560887,16405486,1,146911563,1211635181,2668033,1625330495,2350258644,105925647,218915170,36085349,198628733,5130689,31297049,431959591,424937116,0,0,0,0
1001,47,10621513872,10609896972,11129155,50,404682,82983,30,2487272233,854177,116146701,229582381,605998445,507457982,197967646,658645310,170587229,239733672,4704225721,19107251,7,4,5,0,2,5858,1632,72,0,0,0,0,6,92849800,3492477956,16510820,1,146883872,1211747765,2596431,1627305690,2357740810,101391915,216289066,36231192,198567991,5190781,31309660,506996676,441395246,0,0,0,0
1001,48,10621514202,10609883592,11144105,50,402502,83923,30,2493998252,697703,116223356,232138827,603290611,504966549,200604723,658483497,177566186,239862128,4704353553,18894796,7,4,5,0,2,5858,1632,72,0,0,0,0,6,92933944,3492644399,16308056,1,146928184,1211709154,2586740,1679598670,2356658678,96105308,180454077,33897666,198621463,5143459,31294579,470029393,420412804,0,0,0,0
1001,49,10621512712,10609889852,11135015,40,404722,83053,30,2492283648,749823,116237136,234470171,601099442,504784236,200598612,658642192,175672204,239754304,4704349313,18958226,7,4,5,0,2,5858,1632,72,0,0,0,0,6,92884672,3492740882,16243172,1,146869632,1211608431,2715054,1675205136,2349180449,98560748,194261177,34521870,198571761,5184941,31310160,485292232,392709675,0,0,0,0
1001,50,10621514642,10609881432,11144295,50,404692,84143,30,2492367358,578268,116205926,233262400,603245520,503629825,200873616,658511915,176036919,239824415,4704183059,19054309,7,4,5,0,2,5858,1632,72,0,0,0,0,6,92913772,3492629400,16311134,1,146910643,1211553659,2743175,1704161501,2354942287,90297483,171586833,33375617,198642083,5114409,31310029,482144619,375780744,0,0,0,0
1001,51,10621513012,10609886182,11141845,50,401532,83363,40,2489832030,753155,116255308,235763077,599806553,504517274,200850945,658658552,173198136,239768644,4704268650,19031120,7,4,5,0,2,5858,1632,72,0,0,0,0,6,92880962,3492637168,16333427,1,146887682,1211631482,2697693,1468115403,2360472839,84581942,335953066,34311877,198571421,5186771,31302129,507852424,457168384,0,0,0,0
1001,52,10621514822,10609913062,11114655,50,402692,84323,40,2493124954,602717,116187458,231453397,603985110,505178186,200388078,658499937,176803848,239857606,4704309013,18932646,7,4,5,0,2,5858,1632,72,0,0,0,0,6,92942423,3492732313,16213612,1,146915183,1211576700,2719034,1743354990,2349278605,85768817,152065930,35557608,198633653,5130129,31297880,452359979,363521873,0,0,0,0
